03 juin 2022 07:26:15,760 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:28:10,323 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate ORM core version 6.0.2.Final 
03 juin 2022 07:28:11,523 [main] WARN  {org.hibernate.orm.connections.pooling} - HHH10001002: Using built-in connection pool (not intended for production use) 
03 juin 2022 07:28:11,529 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001005: Loaded JDBC driver class: com.mysql.cj.jdbc.Driver 
03 juin 2022 07:28:11,529 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001012: Connecting with JDBC URL [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:28:11,529 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001001: Connection properties: {password=****, user=root} 
03 juin 2022 07:28:11,530 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001003: Autocommit mode: false 
03 juin 2022 07:28:11,532 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001115: Connection pool size: 20 (min=1) 
03 juin 2022 07:28:11,717 [main] INFO  {SQL dialect} - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
03 juin 2022 07:28:11,719 [main] WARN  {org.hibernate.orm.deprecation} - HHH90000026: MySQL5Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead 
03 juin 2022 07:28:12,514 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Enseignant (class must be instantiated by Interceptor) 
03 juin 2022 07:28:12,606 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Etudiant (class must be instantiated by Interceptor) 
03 juin 2022 07:28:12,839 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@45bbc52f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:28:12,880 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@31881aa2] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:28:12,999 [main] INFO  {org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator} - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
03 juin 2022 07:28:13,071 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:28:13,176 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:28:13,255 [main] WARN  {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - SQL Error: 1146, SQLState: 42S02 
03 juin 2022 07:28:13,255 [main] ERROR {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - Table 'emshbm.enseignant' doesn't exist 
03 juin 2022 07:28:13,264 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:29:08,686 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate ORM core version 6.0.2.Final 
03 juin 2022 07:29:09,848 [main] WARN  {org.hibernate.orm.connections.pooling} - HHH10001002: Using built-in connection pool (not intended for production use) 
03 juin 2022 07:29:09,855 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001005: Loaded JDBC driver class: com.mysql.cj.jdbc.Driver 
03 juin 2022 07:29:09,855 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001012: Connecting with JDBC URL [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:29:09,856 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001001: Connection properties: {password=****, user=root} 
03 juin 2022 07:29:09,856 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001003: Autocommit mode: false 
03 juin 2022 07:29:09,859 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001115: Connection pool size: 20 (min=1) 
03 juin 2022 07:29:10,045 [main] INFO  {SQL dialect} - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
03 juin 2022 07:29:10,047 [main] WARN  {org.hibernate.orm.deprecation} - HHH90000026: MySQL5Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead 
03 juin 2022 07:29:10,877 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Enseignant (class must be instantiated by Interceptor) 
03 juin 2022 07:29:10,999 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Etudiant (class must be instantiated by Interceptor) 
03 juin 2022 07:29:11,277 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@45bbc52f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:29:11,319 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@31881aa2] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:29:11,430 [main] INFO  {org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator} - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
03 juin 2022 07:29:11,511 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:29:11,608 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:29:11,689 [main] WARN  {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - SQL Error: 1146, SQLState: 42S02 
03 juin 2022 07:29:11,689 [main] ERROR {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - Table 'emshbm.t_user' doesn't exist 
03 juin 2022 07:29:11,700 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:30:04,055 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate ORM core version 6.0.2.Final 
